AL	1991	4	154.19
AL	1992	1	155.41
AL	1992	2	155.75
AL	1992	3	158.69
AL	1992	4	159.91
AL	1993	1	161.1
AL	1993	2	162.8
AL	1993	3	165.69
AL	1993	4	167.1
AL	1994	1	168.06
AL	1994	2	170.21
AL	1994	3	170.87
AL	1994	4	171.13
AL	1995	1	172.8
AL	1995	2	176.09
AL	1995	3	178.78
AL	1995	4	180.29
AL	1996	1	183.58
AL	1996	2	183.38
AL	1996	3	183.88
AL	1996	4	186.06
AL	1997	1	187.83
AL	1997	2	189.31
AL	1997	3	192.09
AL	1997	4	194.7
AL	1998	1	197.91
AL	1998	2	199.59
AL	1998	3	201.64
AL	1998	4	204.13
AL	1999	1	204.75
AL	1999	2	205.52
AL	1999	3	205.98
AL	1999	4	207.52
AL	2000	1	208.4
AL	2000	2	210.06
AL	2000	3	211.75
AL	2000	4	214.44
AL	2001	1	220.72
AL	2001	2	221.69
AL	2001	3	223.19
AL	2001	4	225.74
AL	2002	1	226.17
AL	2002	2	227.37
AL	2002	3	230.75
AL	2002	4	233.38
AL	2003	1	235.69
AL	2003	2	237.84
AL	2003	3	239.48
AL	2003	4	240.93
AL	2004	1	243.31
AL	2004	2	244.79
AL	2004	3	249.25
AL	2004	4	253.08
AL	2005	1	256.41
AL	2005	2	262.47
AL	2005	3	267.94
AL	2005	4	273.39
AL	2006	1	278.79
AL	2006	2	283.49
AL	2006	3	288.1
AL	2006	4	293.61
AL	2007	1	295.55
AL	2007	2	299.7
AL	2007	3	300.18
AL	2007	4	302.68
AL	2008	1	304.79
AL	2008	2	303.52
AL	2008	3	301.3
AL	2008	4	303.02
AL	2009	1	305.15
AL	2009	2	301.73
AL	2009	3	294.45
AL	2009	4	293.45
AL	2010	1	289.38
AL	2010	2	285.16
AL	2010	3	289.03
AL	2010	4	286.73
AL	2011	1	279.18
AL	2011	2	275.16
AL	2011	3	277.64
AL	2011	4	279.96
AL	2012	1	277.19
AL	2012	2	275.63
AL	2012	3	277.29
AL	2012	4	277.8
AL	2013	1	275.03
AL	2013	2	275.84
AL	2013	3	275.55
AL	2013	4	274.34
AL	2014	1	277.02
AL	2014	2	278.61
AL	2014	3	281.5
AL	2014	4	283.9
AL	2015	1	285.72
AL	2015	2	288.2
AL	2015	3	289.9
AL	2015	4	291.97
AL	2016	1	293.1
AL	2016	2	297.18
AR	1975	1	66.69
AR	1975	2	60.5
AR	1975	3	65.16
AR	1975	4	62.58
AR	1976	1	66.66
AR	1976	2	68.6
AR	1976	3	71.64
AR	1976	4	73.17
AR	1977	1	73.55
AR	1977	2	75.41
AR	1977	3	78.57
AR	1977	4	81.67
AR	1978	1	81.47
AR	1978	2	83.07
AR	1978	3	85.88
AR	1978	4	85.72
AR	1979	1	92.31
AR	1979	2	95.27
AR	1979	3	100.09
AR	1979	4	101.95
AR	1980	1	100
AR	1980	2	101.5
AR	1980	3	106.38
AR	1980	4	108.71
AR	1981	1	109.94
AR	1981	2	106.53
AR	1981	3	110.53
AR	1981	4	102.56
AR	1982	1	103.41
AR	1982	2	106.31
AR	1982	3	110.89
AR	1982	4	109.18
AR	1983	1	113.49
AR	1983	2	116.39
AR	1983	3	117.87
AR	1983	4	118.25
AR	1984	1	120.66
AR	1984	2	118.52
AR	1984	3	119.39
AR	1984	4	120.73
AR	1985	1	121.25
AR	1985	2	119.7
AR	1985	3	123.98
AR	1985	4	124.3
AR	1986	1	125.63
AR	1986	2	128.36
AR	1986	3	126.52
AR	1986	4	128.08
AR	1987	1	129.23
AR	1987	2	130.66
AR	1987	3	128.02
AR	1987	4	124.1
AR	1988	1	126.62
AR	1988	2	126.98
AR	1988	3	126.91
AR	1988	4	126.45
AR	1989	1	127.26
AR	1989	2	127.22
AR	1989	3	128.16
AR	1989	4	127.22
AR	1990	1	127.82
AR	1990	2	127.98
AR	1990	3	128.92
AR	1990	4	128.15
AR	1991	1	129.61
AR	1991	2	130.36
AR	1991	3	131.56
AR	1991	4	133.71
AR	1992	1	134.73
AR	1992	2	133.9
AR	1992	3	136.37
AR	1992	4	137.26
AR	1993	1	138.39
AR	1993	2	140.56
AR	1993	3	143.12
AR	1993	4	144.75
AR	1994	1	147.73
AR	1994	2	148.94
AR	1994	3	150.58
AR	1994	4	152.22
AR	1995	1	152.62
AR	1995	2	156.85
AR	1995	3	158.83
AR	1995	4	159.44
AR	1996	1	162.11
AR	1996	2	162.15
AR	1996	3	162.13
AR	1996	4	163.83
AR	1997	1	165.28
AR	1997	2	166.88
AR	1997	3	167.61
AR	1997	4	169.73
AR	1998	1	171.73
AR	1998	2	171.7
AR	1998	3	174.38
AR	1998	4	176.57
AR	1999	1	177.21
AR	1999	2	177.47
AR	1999	3	178.13
AR	1999	4	178.86
AR	2000	1	179.68
AR	2000	2	181.36
AR	2000	3	182.47
AR	2000	4	184.89
AR	2001	1	189.42
AR	2001	2	190.64
AR	2001	3	192.59
AR	2001	4	194.58
AR	2002	1	195.44
AR	2002	2	196.26
AR	2002	3	199.4
AR	2002	4	201.88
AR	2003	1	203.36
AR	2003	2	204.61
AR	2003	3	207.2
AR	2003	4	210.21
AR	2004	1	212.85
AR	2004	2	216.51
AR	2004	3	219.99
AR	2004	4	223.88
AR	2005	1	226.88
AR	2005	2	232.22
AR	2005	3	237.31
AR	2005	4	240.5
AR	2006	1	244.31
AR	2006	2	247.59
AR	2006	3	250.14
AR	2006	4	252.45
AR	2007	1	254.57
AR	2007	2	256.29
AR	2007	3	255.7
AR	2007	4	257.06
AR	2008	1	256.82
AR	2008	2	255.93
AR	2008	3	253.04
AR	2008	4	254.3
AR	2009	1	256.66
AR	2009	2	253.28
AR	2009	3	249.22
AR	2009	4	248.3
AR	2010	1	244.84
AR	2010	2	245.43
AR	2010	3	246.39
AR	2010	4	244.83
AR	2011	1	241.19
AR	2011	2	239.76
AR	2011	3	241.69
AR	2011	4	243.28
AR	2012	1	242.43
AR	2012	2	239.83
AR	2012	3	243.58
AR	2012	4	245.2
AR	2013	1	246.09
AR	2013	2	246.8
AR	2013	3	247.03
AR	2013	4	246.55
AR	2014	1	249.23
AR	2014	2	249.37
AR	2014	3	251.16
